ID respondenta,Pocit,X,Y,Městský obvod,Komentář,Věk,Bydliště,Bydliště MOb,Pohlaví
2pb4gcrlh,"Místo, které by se mělo rozvíjet",18.225846,49.805699,Ostrava - Jih,"Vhodné upravit sjízdnost pro cyklisty i pěší a je to nádherný spoj na Marináské Hory.",45-54,v Ostravě,Ostrava - Jih,muž
2pb4gcrlh,"Místo, kde se necítím dobře",18.225632,49.804923,Ostrava - Jih,"Moc bezdomovců a uživatelů drog.",45-54,v Ostravě,Ostrava - Jih,muž
2pb4gcrlh,"Místo, kde se necítím dobře",18.23826,49.791828,Ostrava - Jih,"Ubytovna a množství bezdomovců a dalších nepřizpůsobivých lidí. Nikdo včetně PČR s tím nic nedělá.",45-54,v Ostravě,Ostrava - Jih,muž
4aoqa6hgt,"Místo, kde se cítím dobře",18.177037,49.83236,Poruba, ,15-24,v Ostravě,,žena
4aoqa6hgt,"Místo, které doporučím návštěvníkům",18.273159,49.830488,Moravská Ostrava a Přívoz, ,15-24,v Ostravě,,žena
4aoqa6hgt,"Místo, které by se mělo rozvíjet",18.209235,49.819646,Svinov, ,15-24,v Ostravě,,žena
4aoqa6hgt,"Místo, kde se necítím dobře",18.284019,49.817198,Vítkovice, ,15-24,v Ostravě,,žena
6vn9fzs02,"Místo, kde se cítím dobře",18.194003,49.817496,Svinov, ,15-24,v Ostravě,Svinov,žena
6vn9fzs02,"Místo, kde se cítím dobře",18.173254,49.847392,Poruba, ,15-24,v Ostravě,Svinov,žena
6vn9fzs02,"Místo, kde se cítím dobře",18.199346,49.815184,Svinov, ,15-24,v Ostravě,Svinov,žena
6vn9fzs02,"Místo, které doporučím návštěvníkům",18.256273,49.804439,Vítkovice, ,15-24,v Ostravě,Svinov,žena
6vn9fzs02,"Místo, které doporučím návštěvníkům",18.263569,49.806114,Vítkovice, ,15-24,v Ostravě,Svinov,žena
6vn9fzs02,"Místo, které by se mělo rozvíjet",18.262496,49.805948,Vítkovice, ,15-24,v Ostravě,Svinov,žena
6vn9fzs02,"Místo, které by se mělo rozvíjet",18.257217,49.831671,Mariánské Hory a Hulváky, ,15-24,v Ostravě,Svinov,žena
6vn9fzs02,"Místo, kde se necítím dobře",18.253613,49.8299,Mariánské Hory a Hulváky, ,15-24,v Ostravě,Svinov,žena
ikqjkwtd5,"Místo, kde se cítím dobře",18.199949,49.814927,Svinov, ,15-24,v Ostravě,,žena
ikqjkwtd5,"Místo, kde se cítím dobře",18.195063,49.816717,Svinov, ,15-24,v Ostravě,,žena
ikqjkwtd5,"Místo, které doporučím návštěvníkům",17.246885,49.836749,mimo Ostravu, ,15-24,v Ostravě,,žena
ikqjkwtd5,"Místo, které by se mělo rozvíjet",18.289605,49.833394,Moravská Ostrava a Přívoz, ,15-24,v Ostravě,,žena
ikqjkwtd5,"Místo, kde se necítím dobře",18.16816,49.825628,Poruba, ,15-24,v Ostravě,,žena
bh6kussjk,"Místo, kde se cítím dobře",18.196932,49.814737,Svinov, ,15-24,mimo Ostravu,,žena
bh6kussjk,"Místo, které doporučím návštěvníkům",18.280113,49.818998,Vítkovice, ,15-24,mimo Ostravu,,žena
8qsic0j16,"Místo, kde se cítím dobře",18.292226,49.848105,Moravská Ostrava a Přívoz, ,35-44,v Ostravě,Moravská Ostrava a Přívoz,muž
8qsic0j16,"Místo, které doporučím návštěvníkům",18.280649,49.816603,Vítkovice, ,35-44,v Ostravě,Moravská Ostrava a Přívoz,muž
8qsic0j16,"Místo, které by se mělo rozvíjet",18.295369,49.833955,Moravská Ostrava a Přívoz, ,35-44,v Ostravě,Moravská Ostrava a Přívoz,muž
8qsic0j16,"Místo, které by se mělo rozvíjet",18.286443,49.824695,Moravská Ostrava a Přívoz, ,35-44,v Ostravě,Moravská Ostrava a Přívoz,muž
8qsic0j16,"Místo, kde se necítím dobře",18.283374,49.83984,Moravská Ostrava a Přívoz, ,35-44,v Ostravě,Moravská Ostrava a Přívoz,muž
7gxyi4v93,"Místo, kde se cítím dobře",18.222341,49.840288,Mariánské Hory a Hulváky,"Místo u lávky přes řeku",65+,v Ostravě,Mariánské Hory a Hulváky,muž
7gxyi4v93,"Místo, které doporučím návštěvníkům",18.262478,49.866271,Petřkovice,"Pěkný areál...",65+,v Ostravě,Mariánské Hory a Hulváky,muž
7gxyi4v93,"Místo, které by se mělo rozvíjet",18.239014,49.82605,Nová Ves,"Blízko rybníků...",65+,v Ostravě,Mariánské Hory a Hulváky,muž
7gxyi4v93,"Místo, kde se necítím dobře",18.254938,49.830461,Mariánské Hory a Hulváky,"Celá ulice...",65+,v Ostravě,Mariánské Hory a Hulváky,muž
3zan790mm,"Místo, kde se cítím dobře",18.322792,49.846669,Slezská Ostrava,"ZOO je klidné místo k relaxaci.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.292623,49.847959,Moravská Ostrava a Přívoz,"Komenské sady a nábřeží jsou místem, kde se dá v rozpálených letních dnech ukrýt před neskutečným horkem.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.292751,49.849772,Moravská Ostrava a Přívoz, ,15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.288878,49.850858,Moravská Ostrava a Přívoz, ,15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.289629,49.851917,Moravská Ostrava a Přívoz, ,15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.314917,49.839766,Slezská Ostrava,"Z vrcholu Emy je krásný rozhled.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.292698,49.835713,Moravská Ostrava a Přívoz,"Náměstí je rovněž hezké místo k relaxaci v létě (hlavně na lavičkách pod vzrostlou zelení).",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.293867,49.831566,Moravská Ostrava a Přívoz,"Velmi pěkně zpracovaný areál CityCampusu. Toto místo to dost oživilo.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.291818,49.833408,Moravská Ostrava a Přívoz,"Prostor před Černou loukou je ideální k odpočinku, když nechcete být přímo v centru. Ruch tu není tak velký. Ocenil bych umístění např. laviček pod stromy.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.290292,49.832877,Moravská Ostrava a Přívoz,"Lavičky pod stromy s krásným výhledem.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.295324,49.834963,Moravská Ostrava a Přívoz,"Pěkný, poměrně nový parčík. Možná by to chtělo vysadit 1-2 vzrostlejší stromy pro větší stín v létě.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.290069,49.841079,Moravská Ostrava a Přívoz,"Moc pěkné místo s lavičkami a rozhledem na věž radnice.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.290654,49.841702,Moravská Ostrava a Přívoz,"Velmi pěkné stromořadí na Prokeš. nám.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.288159,49.841229,Moravská Ostrava a Přívoz, ,15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.300272,49.831172,Slezská Ostrava, ,15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.338006,49.819625,Radvanice a Bartovice,"Hezký zpracovaný veřejný prostor.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.209002,49.824447,Svinov,"Pěkně udělaný přestupní uzel.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.148406,49.836755,Poruba,"Moc pěkné místo na procházky.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.141689,49.836348,Krásné Pole, ,15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.153287,49.836024,Poruba,"Krásné místo k procházkám v lese.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.282696,49.829119,Moravská Ostrava a Přívoz,"Pěkné nádraží",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.185431,49.835089,Poruba,"Pěkné klidné místo.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.178414,49.844874,Poruba,"Pěkné klidné místo.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.183242,49.83935,Poruba, ,15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.240309,49.78611,Ostrava - Jih,"Pěkný park.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.236682,49.783992,Ostrava - Jih,"Hezky zpracovaná tramvajová smyčka.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.237466,49.79946,Ostrava - Jih,"Pěkná klidná ulice. Ocenil bych u parkovišť více zeleně. V létě je zde horko.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.342962,49.831731,Slezská Ostrava, ,15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.338113,49.840307,Slezská Ostrava, ,15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.29347,49.843539,Slezská Ostrava,"Moc pěkný veřejné prostranství.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.292944,49.845012,Slezská Ostrava, ,15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.29258,49.841732,Moravská Ostrava a Přívoz,"Pěkné místo za radnicí.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.210992,49.844802,Hošťálkovice, ,15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se cítím dobře",18.296075,49.836965,Moravská Ostrava a Přívoz, ,15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které doporučím návštěvníkům",18.322191,49.845288,Slezská Ostrava,"ZOO.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které doporučím návštěvníkům",18.314767,49.83964,Slezská Ostrava,"Halda Ema.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které doporučím návštěvníkům",18.325968,49.850322,Slezská Ostrava,"Zoo.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které doporučím návštěvníkům",18.29258,49.848567,Moravská Ostrava a Přívoz,"Komenského sady.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které doporučím návštěvníkům",18.291636,49.841682,Moravská Ostrava a Přívoz,"Věž radnice.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které doporučím návštěvníkům",18.292408,49.835862,Moravská Ostrava a Přívoz,"Centrum města resp. Masarykovo nám.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které doporučím návštěvníkům",18.285112,49.830847,Moravská Ostrava a Přívoz,"Karolina.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které doporučím návštěvníkům",18.276669,49.819454,Vítkovice,"Bolt Tower",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které doporučím návštěvníkům",18.281465,49.819946,Vítkovice,"DOV",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které doporučím návštěvníkům",18.14449,49.837719,Krásné Pole,"Planetárium + přilehlý les",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které doporučím návštěvníkům",18.142977,49.827462,Poruba,"Koupaliště",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které doporučím návštěvníkům",18.211373,49.84448,Hošťálkovice,"Vyhlídka na Ostravu.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které doporučím návštěvníkům",18.261509,49.866535,Petřkovice,"Landek",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které doporučím návštěvníkům",18.296096,49.836818,Moravská Ostrava a Přívoz,"Nábřeží",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které doporučím návštěvníkům",18.239021,49.781965,Stará Bělá, ,15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které doporučím návštěvníkům",18.30086,49.843317,Slezská Ostrava,"Vyhlídka (hlavně k večeru nebo z rána) na Ostravu.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.268472,49.836766,Moravská Ostrava a Přívoz,"Nevyužitý zanedbaný prostor.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.267839,49.850899,Moravská Ostrava a Přívoz,"Okolí hlavního nádraží není nic moc.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.282055,49.856793,Moravská Ostrava a Přívoz,"Halda v přívoze je veřejně nepřístupná, ale z dálky vypadá, že by z ní byl asi hezký výhled. Je to nedotknutý kus krajiny v centru Ostravy s jedinečným biotopem. Toto místo by si zasloužilo být vyhlášeno přírodní rezervací (PR).",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.318522,49.824224,Slezská Ostrava,"Po výstavbě na Hranečníku ubylo hodně zeleně a nově vysazené je málo. Chtělo by to místo více ozelenit.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.269277,49.846589,Moravská Ostrava a Přívoz,"Naprosto vyloučená lokalita. Hnus.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.272367,49.844637,Moravská Ostrava a Přívoz,"Černé skládky, špína, kriminalita. Odporná část města.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.271465,49.848056,Moravská Ostrava a Přívoz,"Temný, nepříjemný podchod.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.267072,49.845831,Moravská Ostrava a Přívoz,"Vyloučená lokalita blízko centra. Špína a nepořádek.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.27852,49.850235,Moravská Ostrava a Přívoz,"Podivný veřejné prostor bez ničeho.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.26417,49.855223,Moravská Ostrava a Přívoz,"Vyloučená lokalita. Nepořádek a kriminalita.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.27786,49.853396,Moravská Ostrava a Přívoz, ,15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.280064,49.851643,Moravská Ostrava a Přívoz,"Nepěkný veřejný prostor.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.291013,49.859453,Slezská Ostrava,"Vyloučená oblast.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.293803,49.829352,Slezská Ostrava,"Škaredé místo. Nepěkný most a cesta, kterou lemujou hromady odpadků na nájezdech.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.297939,49.827192,Slezská Ostrava, ,15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.31864,49.822755,Slezská Ostrava,"Vyloučená oblast.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.238764,49.824541,Nová Ves,"Nepříjemný, neudržovaný, temný park.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.240974,49.826189,Mariánské Hory a Hulváky,"Tmavý nepříjemný park.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.237648,49.822478,Mariánské Hory a Hulváky, ,15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.283718,49.842702,Moravská Ostrava a Přívoz,"Škaredé místo s garážemi a odpadky.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.316886,49.837276,Slezská Ostrava,"Zanedbané místo před závorou s posprejovanými značkami.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.282291,49.83008,Moravská Ostrava a Přívoz,"Ocenil bych lavičky. Mohl by zde být pěkný park.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, které by se mělo rozvíjet",18.333081,49.834342,Slezská Ostrava,"Zde by mohlo něco vzniknou.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se necítím dobře",18.266015,49.856247,Moravská Ostrava a Přívoz,"Vyloučená lokalita, nepořádek.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se necítím dobře",18.27168,49.848035,Moravská Ostrava a Přívoz,"Odporný, temný podchod.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se necítím dobře",18.270049,49.846845,Moravská Ostrava a Přívoz,"Vyloučená lokalita s černými skládkami a nepřizpůsobivými občany.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se necítím dobře",18.27198,49.844859,Moravská Ostrava a Přívoz,"Černé skládky, špína, kriminalita.",15-24,v Ostravě,Slezská Ostrava,muž
3zan790mm,"Místo, kde se necítím dobře",18.268536,49.846222,Moravská Ostrava a Přívoz,"Vyloučená oblast s kriminalitou.",15-24,v Ostravě,Slezská Ostrava,muž
